Easting,Northing,Elevation,Alteration,Cu,Au,Mo,As,Bn,Cp,Cc,Cv,En,Py,Pyr,Mol,Ga,Sph,TS
650743.75,4766161.34,348.13,5,0.46,0.23,14.4,6.3,0,9000,0,0,0,21000,0,0,0,0,30000
650919.31,4766177.42,-39.64,3,0.4,0.23,17.8,54.6,0,12000,0,0,0,16500,0,1500,0,0,30000
650920.14,4766177.49,-41.46,3,0.54,0.24,10.8,36.9,0,11100,0,0,0,18000,0,900,0,0,30000
650920.97,4766177.57,-43.28,3,0.59,0.28,38,87.4,0,14400,0,0,0,24000,0,1600,0,0,40000
650922.62,4766177.72,-46.92,3,1.04,0.52,18.75,43.2,2000,16000,0,0,0,20000,0,2000,0,0,40000
650923.45,4766177.8,-48.74,3,1.57,0.17,21.2,25.9,0,22000,0,0,0,16000,0,2000,0,0,40000
650925.11,4766177.95,-52.37,3,1.06,0.27,16.15,14.2,0,17100,0,0,0,12000,0,900,0,0,30000
650927.59,4766178.17,-57.83,3,1.21,0.26,20.5,29.1,0,13500,0,0,0,16500,0,0,0,0,30000
650928.42,4766178.25,-59.65,3,0.36,0.17,23.7,44.7,0,12000,0,0,0,17400,0,600,0,0,30000
650939.13,4766179.17,-83.32,3,1.63,0.76,127.5,20.1,1000,29000,0,0,0,18000,0,2000,0,0,50000
650939.95,4766179.24,-85.15,3,0.89,0.29,9.92,27.3,0,13500,0,0,0,16500,0,0,0,0,30000
650942.41,4766179.44,-90.62,3,0.51,0.19,27.8,27.2,0,12000,0,0,0,17100,0,900,0,0,30000
650943.23,4766179.51,-92.44,3,0.36,0.16,103.5,29.9,0,9000,0,0,0,21000,0,0,0,0,30000
650944.87,4766179.64,-96.09,3,0.23,0.13,8.4,13.2,0,4000,0,0,0,16000,0,0,0,0,20000
650947.32,4766179.89,-101.56,3,0.42,0.28,9.93,30.7,0,12000,0,0,0,28000,0,0,0,0,40000
650948.13,4766179.97,-103.38,3,0.46,0.16,8.42,17.5,0,9000,0,0,0,21000,0,0,0,0,30000
650955.48,4766180.71,-119.8,3,0.29,0.1,8.65,10.3,0,9000,0,0,0,20400,0,600,0,0,30000
650956.3,4766180.8,-121.62,3,0.5,0.29,14.5,24.6,0,9000,0,0,0,20400,0,600,0,0,30000
650957.93,4766180.96,-125.27,3,0.22,0.14,23.6,41.2,0,6000,0,0,0,24000,0,0,0,0,30000
650762.88,4766162.65,304.12,5,0.18,0.11,3.83,9.7,0,6000,0,0,0,14000,0,0,0,0,20000
650965.28,4766181.7,-141.68,3,1.31,0.3,110.5,20.6,2500,27500,0,0,0,18500,0,1500,0,0,50000
650966.1,4766181.78,-143.51,3,0.81,0.15,53.5,13,0,16000,0,0,0,23200,0,800,0,0,40000
650966.92,4766181.87,-145.33,3,0.49,0.11,34.3,31.1,0,16000,0,0,0,22800,0,1200,0,0,40000
650766.86,4766162.95,294.95,5,0.31,0.15,6.72,12.2,0,6000,0,0,0,14000,0,0,0,0,20000
650770.84,4766163.26,285.79,5,0.66,0.21,9.35,7,0,6000,0,0,0,14000,0,0,0,0,20000
650773.24,4766163.43,280.29,5,0.36,0.16,7.01,1.8,0,6000,0,0,0,14000,0,0,0,0,20000
650776.46,4766163.62,272.97,5,0.45,0.19,6.21,15.4,0,6000,0,0,0,14000,0,0,0,0,20000
650974.26,4766182.61,-161.74,3,1.12,0.51,80.6,4.8,0,30000,0,0,0,18500,0,1500,0,0,50000
